color,price,model,specs,engine,bodytype,mileage,city
Blue,"$13,390 ",2014 Jeep Patriot Latitude,"Used 2014 Jeep Patriot Latitude with 4WD, Remote Start, Heated Seats, Satellite Radio, Aux Audio Adapter, Handsfree/Bluetooth Integration",4 Cyl,SUV,"Mileage: 54,387 miles",Boston
Black,"$37,990 ",2016 Jeep Wrangler Rubicon,"Used 2016 Jeep Wrangler Rubicon with 4WD, Remote Start, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",6 Cyl,SUV,"Mileage: 15,122 miles",Boston
Silver,"$23,991 ",2011 Toyota 4Runner SR5,"Used 2011 Toyota 4Runner SR5 with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Power Windows, Trip Computer, Intermittent Wipers, Front Airbags (Driver)",6 Cyl,SUV,"Mileage: 47,224 miles",Boston
Blue,"$12,990 ",2014 Chevrolet Malibu LT,"Used 2014 Chevrolet Malibu LT with FWD, Remote Start, Leather Seats, Alloy Wheels, CD (Single Disc), Rear-View Camera, MP3, Satellite Radio, AM/FM, Power Seat (Driver)",4 Cyl,Sedan,"Mileage: 41,161 miles",Boston
Silver,"$4,990 ",2002 Volvo C70 LT,"Used 2002 Volvo C70 LT with FWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, Power Steering, Power Windows",5 Cyl,Convertible,"Mileage: 76,595 miles",Boston
Black,"$12,483 ",2016 Kia Forte LX,"Used 2016 Kia Forte LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",4 Cyl,Sedan,"Mileage: 14,788 miles",Boston
Silver,"$22,488 ",2014 BMW X1 xDrive28i,"Used 2014 BMW X1 xDrive28i with AWD, Fog Lights, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, AM/FM",4 Cyl,SUV,"Mileage: 33,184 miles",Boston
Gray,"$23,950 ",2012 Mercedes-Benz GL-Class GL 450,"Used 2012 Mercedes-Benz GL-Class GL 450 with AWD, Power Sun/Moonroof, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, DVD, Air Conditioning, MP3, Power Steering",8 Cyl,SUV,"Mileage: 80,949 miles",Boston
Red,"$17,420 ",2015 Mazda CX-5 Touring,"Used 2015 Mazda CX-5 Touring with AWD, Power Sun/Moonroof, Navigation System, AM/FM",4 Cyl,SUV,"Mileage: 52,167 miles",Boston
Silver,"$20,990 ",2014 GMC Acadia SLE,"Used 2014 GMC Acadia SLE with AWD, Alloy Wheels, CD (Single Disc), Rear-View Camera, DVD, Air Conditioning, Satellite Radio, Cloth Seats, AM/FM, Power Mirrors",6 Cyl,SUV,"Mileage: 48,916 miles",Boston
White,"$12,590 ",2014 Honda Civic LX,"Used 2014 Honda Civic LX with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Intermittent Wipers",4 Cyl,Sedan,"Mileage: 32,511 miles",Boston
Gray,"$23,790 ",2011 Toyota 4Runner SR5,"Used 2011 Toyota 4Runner SR5 with 4WD, Fog Lights, Power Sun/Moonroof, Trailer Hitch, Alloy Wheels, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering",6 Cyl,SUV,"Mileage: 76,025 miles",Boston
Black,"$13,988 ",2015 Nissan Altima,"Used 2015 Nissan Altima with FWD, Navigation System, Keyless Entry, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,Sedan,"Mileage: 40,355 miles",Boston
Beige,"$20,999 ",2015 Toyota RAV4 XLE,"Used 2015 Toyota RAV4 XLE with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Rear-View Camera, Split/Folding Seats, Air Conditioning, Cloth Seats",4 Cyl,SUV,"Mileage: 21,405 miles",Boston
Black,"$38,150 ",2016 Mercedes-Benz GLC 300,"Used 2016 Mercedes-Benz GLC 300 with AWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Power Steering, Power Windows",4 Cyl,SUV,"Mileage: 27,571 miles",Boston
Blue,"$16,490 ",2013 GMC Terrain SLT,"Used 2013 GMC Terrain SLT with AWD, Leather Seats, Navigation System, Heated Seats, Rear-View Camera",4 Cyl,SUV,"Mileage: 68,776 miles",Boston
Gray,"$27,900 ",2014 BMW 3 Series 335i xDrive,"Used 2014 BMW 3 Series 335i xDrive with AWD, Fog Lights, Alloy Wheels, Navigation System, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering, Power Windows",6 Cyl,Sedan,"Mileage: 51,062 miles",Boston
Silver,"$25,390 ",2014 Ford Explorer XLT,"Used 2014 Ford Explorer XLT with 4WD, Leather Seats, Fog Lights, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Steering",6 Cyl,SUV,"Mileage: 35,230 miles",Boston
Gray,"$19,999 ",2014 Ford Escape Titanium,"Used 2014 Ford Escape Titanium with 4WD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning",4 Cyl,SUV,"Mileage: 39,061 miles",Boston
Black,"$26,995 ",2014 BMW 4 Series 428i xDrive,"Used 2014 BMW 4 Series 428i xDrive with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats",4 Cyl,Coupe,"Mileage: 24,784 miles",Boston
Silver,"$14,227 ",2014 Toyota Prius Two,"Used 2014 Toyota Prius Two with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,Hatchback,"Mileage: 61,105 miles",Boston
Gray,"$11,999 ",2015 Scion tC Base,"Used 2015 Scion tC Base with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter",4 Cyl,Hatchback,"Mileage: 68,071 miles",Boston
Brown,"$12,790 ",2013 Nissan Altima SL,"Used 2013 Nissan Altima SL with FWD, Leather Seats, Power Sun/Moonroof, Navigation System, Heated Seats, Power Seat (Driver)",4 Cyl,Sedan,"Mileage: 70,426 miles",Boston
Green,"$13,500 ",2015 Toyota Corolla LE,"Used 2015 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,Sedan,"Mileage: 31,896 miles",Boston
Black,"$18,500 ",2015 Ford Escape Titanium,"Used 2015 Ford Escape Titanium with 4WD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning",4 Cyl,SUV,"Mileage: 47,538 miles",Boston
White,"$19,406 ",2012 Acura MDX Technology,"Used 2012 Acura MDX Technology with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,SUV,"Mileage: 95,257 miles",Boston
Gray,"$15,293 ",2014 Honda CR-V LX,,4 Cyl,SUV,"Mileage: 54,874 miles",Boston
Silver,"$30,500 ",2015 Lincoln MKC,"Used 2015 Lincoln MKC with AWD, Remote Start, Leather Seats, Navigation System, Keyless Entry, Heated Seats, Rear-View Camera, Air Conditioning, Trip Computer, Power Seat (Driver), Power Locks",4 Cyl,SUV,"Mileage: 5,590 miles",Boston
Silver,"$19,800 ",2015 Audi A3 2.0T,"Used 2015 Audi A3 2.0T with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning",4 Cyl,Sedan,"Mileage: 31,143 miles",Boston
White,"$15,169 ",2011 Toyota Avalon Limited Edition,"Used 2011 Toyota Avalon Limited Edition with FWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, DVD, Air Conditioning",6 Cyl,Sedan,"Mileage: 72,327 miles",Boston
Unspecified,"$15,500 ",2014 Nissan Juke SL,"Used 2014 Nissan Juke SL with AWD, Navigation System, Cruise Control, Rear-View Camera, Power Steering, AM/FM, Trip Computer, Intermittent Wipers, Power Locks, Rear Window Defroster, Handsfree/Bluetooth Integration",4 Cyl,SUV,"Mileage: 34,554 miles",Boston
Red,"$5,990 ",2010 Chevrolet Aveo LS,"Used 2010 Chevrolet Aveo LS with FWD, Front Airbags (Driver)",4 Cyl,Sedan,"Mileage: 58,028 miles",Boston
White,"$42,473 ",2016 BMW 4 Series 428i xDrive,"Used 2016 BMW 4 Series 428i xDrive with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning",4 Cyl,Convertible,"Mileage: 8,773 miles",Boston
Black,"$17,190 ",2014 GMC Terrain SLE,"Used 2014 GMC Terrain SLE with AWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,SUV,"Mileage: 28,139 miles",Boston
White,"$25,995 ",2014 BMW 4 Series 428i xDrive,"Used 2014 BMW 4 Series 428i xDrive with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering",4 Cyl,Coupe,"Mileage: 30,060 miles",Boston
Silver,"$35,395 ",2015 Chevrolet Tahoe LT,"Used 2015 Chevrolet Tahoe LT with 4WD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",8 Cyl,SUV,"Mileage: 65,097 miles",Boston
Black,"$20,000 ",2015 Buick Encore Convenience,"Used 2015 Buick Encore Convenience with AWD, Remote Start, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Rear-View Camera, Air Conditioning, Power Steering, AM/FM, Trip Computer",4 Cyl,SUV,"Mileage: 8,581 miles",Boston
White,"$17,520 ",2012 Subaru Forester 2.5X,"Used 2012 Subaru Forester 2.5X with AWD, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",4 Cyl,SUV,"Mileage: 19,309 miles",Boston
Red,"$12,950 ",2015 Hyundai Veloster Turbo,"Used 2015 Hyundai Veloster Turbo with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",4 Cyl,Hatchback,"Mileage: 52,388 miles",Boston
Beige,"$10,995 ",2009 Toyota Highlander,"Used 2009 Toyota Highlander with 4WD, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, AM/FM",6 Cyl,SUV,"Mileage: 134,525 miles",Boston
White,"$26,550 ",2013 Ford F-150 XLT,"Used 2013 Ford F-150 XLT with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats",6 Cyl,Pickup,"Mileage: 49,338 miles",Boston
White,"$15,000 ",2014 Jeep Compass Latitude,"Used 2014 Jeep Compass Latitude with 4WD, Cruise Control",4 Cyl,SUV,"Mileage: 37,203 miles",Boston
Blue,"$15,490 ",2012 Ford Mustang GT,"Used 2012 Ford Mustang GT with RWD, Keyless Entry",8 Cyl,Coupe,"Mileage: 98,717 miles",Boston
White,"$26,837 ",2014 Toyota Tacoma Base,"Used 2014 Toyota Tacoma Base with 4WD, Double Cab, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Towing Package, Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",6 Cyl,Pickup,"Mileage: 41,872 miles",Boston
Gray,"$14,544 ",2014 Honda Civic EXL,"Used 2014 Honda Civic EXL with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, Power Steering, Trip Computer, Power Seat (Driver)",4 Cyl,Sedan,"Mileage: 36,007 miles",Boston
Blue,"$12,500 ",2016 Chevrolet Cruze LS,"Used 2016 Chevrolet Cruze LS with FWD, Keyless Entry, Air Conditioning, Power Steering, AM/FM, Trip Computer, Intermittent Wipers, Power Locks, Rear Window Defroster, Handsfree/Bluetooth Integration, Power Mirrors",4 Cyl,Sedan,"Mileage: 13,841 miles",Boston
White,"$26,787 ",2015 Honda Pilot EXL,"Used 2015 Honda Pilot EXL with 4WD, Leather Seats, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, Power Locks, Handsfree/Bluetooth Integration",6 Cyl,SUV,"Mileage: 58,160 miles",Boston
Brown,"$15,790 ",2014 Honda CR-V LX,"Used 2014 Honda CR-V LX with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter",4 Cyl,SUV,"Mileage: 33,643 miles",Boston
Gray,"$12,998 ",2014 Nissan Altima,"Used 2014 Nissan Altima with FWD, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",4 Cyl,Sedan,"Mileage: 37,721 miles",Boston
Silver,"$15,380 ",2015 Hyundai Sonata Sport,"Used 2015 Hyundai Sonata Sport with FWD, Cruise Control, Heated Seats, Air Conditioning, Power Steering, Trip Computer, Power Seat (Driver), Intermittent Wipers, Power Locks, Handsfree/Bluetooth Integration, Power Mirrors",4 Cyl,Sedan,"Mileage: 32,001 miles",Boston
Blue,"$22,727 ",2015 Mini Cooper Countryman S,"Used 2015 Mini Cooper Countryman S with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows",4 Cyl,SUV,"Mileage: 23,985 miles",Boston
Black,"$13,750 ",2014 Nissan Altima,"Used 2014 Nissan Altima with FWD, Navigation System, Keyless Entry, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM",4 Cyl,Sedan,"Mileage: 34,402 miles",Boston
Black,"$7,257 ",2011 Ford Fiesta SE,"Used 2011 Ford Fiesta SE with FWD, Keyless Entry, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, Trip Computer",4 Cyl,Hatchback,"Mileage: 28,689 miles",Boston
Blue,"$14,390 ",2012 Jeep Liberty Sport,"Used 2012 Jeep Liberty Sport with 4WD, Aux Audio Adapter",6 Cyl,SUV,"Mileage: 30,425 miles",Boston
Burgundy,"$14,490 ",2015 Hyundai Sonata SE,,4 Cyl,Sedan,"Mileage: 9,025 miles",Boston
Gray,"$30,992 ",2015 Lexus RX 350,"Used 2015 Lexus RX 350 with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Heated Seats, Rear-View Camera, Power Mirrors",6 Cyl,SUV,"Mileage: 18,787 miles",Boston
Silver,"$19,575 ",2014 BMW i3,"Used 2014 BMW i3 with RWD, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes",Electric,Hatchback,"Mileage: 16,178 miles",Boston
Green,"$30,490 ",2014 Toyota FJ Cruiser,"Used 2014 Toyota FJ Cruiser with 4WD, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering, Power Windows, AM/FM",6 Cyl,SUV,"Mileage: 44,917 miles",Boston
White,"$15,495 ",2015 Mazda Mazda3 i Grand Touring,"Used 2015 Mazda Mazda3 i Grand Touring with FWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM",4 Cyl,Sedan,"Mileage: 35,166 miles",Boston
Silver,"$34,990 ",2014 Ford F-150 FX4,"Used 2014 Ford F-150 FX4 with 4WD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning",6 Cyl,Pickup,"Mileage: 33,203 miles",Boston
Green,"$31,492 ",2015 Toyota Highlander XLE,"Used 2015 Toyota Highlander XLE with AWD, Leather Seats",6 Cyl,SUV,"Mileage: 37,724 miles",Boston
Gray,"$25,000 ",2014 Infiniti Q50 Premium,"Used 2014 Infiniti Q50 Premium with AWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, DVD",6 Cyl,Sedan,"Mileage: 25,411 miles",Boston
Gray,"$46,995 ",2015 Audi Q7 Prestige,"Used 2015 Audi Q7 Prestige with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera",6 Cyl,SUV,"Mileage: 14,721 miles",Boston
Red,"$33,987 ",2014 Toyota 4Runner Limited Edition,"Used 2014 Toyota 4Runner Limited Edition with 4WD, Fog Lights, Trailer Hitch, Cruise Control, Split/Folding Seats, Power Steering, Trip Computer, Power Seat (Driver), Intermittent Wipers, Power Locks, Handsfree/Bluetooth Integration",6 Cyl,SUV,"Mileage: 32,277 miles",Boston
Gray,"$13,490 ",2014 Nissan Rogue S,,4 Cyl,SUV,"Mileage: 41,546 miles",Boston
Orange,"$13,491 ",2013 Toyota Corolla S,"Used 2013 Toyota Corolla S with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Cloth Seats",4 Cyl,Sedan,"Mileage: 7,121 miles",Boston
Gray,"$16,490 ",2014 Jeep Cherokee Latitude,"Used 2014 Jeep Cherokee Latitude with 4WD, Remote Start, Heated Seats, Satellite Radio, AM/FM, Handsfree/Bluetooth Integration, Power Mirrors",4 Cyl,SUV,"Mileage: 34,456 miles",Boston
Silver,"$15,892 ",2012 Toyota RAV4 Limited Edition,,4 Cyl,SUV,"Mileage: 41,732 miles",Boston
Gold,"$21,986 ",2013 Toyota Highlander,"Used 2013 Toyota Highlander with 4WD, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, AM/FM",6 Cyl,SUV,"Mileage: 43,316 miles",Boston
Silver,"$17,000 ",2015 Toyota RAV4 LE,"Used 2015 Toyota RAV4 LE with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows",4 Cyl,SUV,"Mileage: 55,605 miles",Boston
White,"$23,995 ",2014 BMW 3 Series 328i xDrive,"Used 2014 BMW 3 Series 328i xDrive with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",4 Cyl,Sedan,"Mileage: 24,443 miles",Boston
Black,"$32,987 ",2015 Infiniti QX60 Base,"Used 2015 Infiniti QX60 Base with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats",6 Cyl,SUV,"Mileage: 24,416 miles",Boston
White,"$24,990 ",2014 Ford Explorer XLT,"Used 2014 Ford Explorer XLT with 4WD, Leather Seats, Navigation System, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, AM/FM, Handsfree/Bluetooth Integration",6 Cyl,SUV,"Mileage: 47,733 miles",Boston
Black,"$24,990 ",2014 Ford Explorer XLT,"Used 2014 Ford Explorer XLT with 4WD, Leather Seats, Alloy Wheels, Navigation System, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, AM/FM, Handsfree/Bluetooth Integration",6 Cyl,SUV,"Mileage: 44,847 miles",Boston
Blue,"$5,995 ",2009 Honda Fit Sport,"Used 2009 Honda Fit Sport with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",4 Cyl,Hatchback,"Mileage: 125,111 miles",Boston
Silver,"$18,900 ",2014 Honda CR-V EX,"Used 2014 Honda CR-V EX with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering",4 Cyl,SUV,"Mileage: 31,633 miles",Boston
Gray,"$13,290 ",2014 Nissan Rogue S,,4 Cyl,SUV,"Mileage: 44,379 miles",Boston
Black,"$24,834 ",2016 Ford Explorer Base,"Used 2016 Ford Explorer Base with 4WD, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",6 Cyl,SUV,"Mileage: 35,959 miles",Boston
White,"$32,500 ",2016 Toyota Tacoma SR5,"Used 2016 Toyota Tacoma SR5 with 4WD, Double Cab, Fog Lights, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3",6 Cyl,Pickup,"Mileage: 10,501 miles",Boston
Black,"$18,495 ",2013 GMC Sierra 1500 SLE,"Used 2013 GMC Sierra 1500 SLE with 4WD, Keyless Entry, Cruise Control, CD (Single Disc), Towing Package, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering",8 Cyl,Pickup,"Mileage: 104,223 miles",Boston
Black,"$22,000 ",2014 Mercedes-Benz CLA 250,"Used 2014 Mercedes-Benz CLA 250 with FWD, Fog Lights, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, AM/FM, Aux Audio Adapter, Trip Computer, Power Seat (Driver)",4 Cyl,Sedan,"Mileage: 29,229 miles",Boston
Gray,"$10,690 ",2014 Nissan Sentra S,,4 Cyl,Sedan,"Mileage: 35,821 miles",Boston
Silver,"$10,990 ",2014 Volkswagen Jetta S,"Used 2014 Volkswagen Jetta S with FWD, Keyless Entry, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes, Trip Computer, Intermittent Wipers",4 Cyl,Sedan,"Mileage: 23,665 miles",Boston
White,"$25,988 ",2014 Lincoln MKS,"Used 2014 Lincoln MKS with AWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio",6 Cyl,Sedan,"Mileage: 17,123 miles",Boston
Blue,"$17,500 ",2008 Toyota Tundra Limited Edition,"Used 2008 Toyota Tundra Limited Edition with 4WD, Double Cab, Leather Seats, Fog Lights, Cruise Control, Heated Seats, Split/Folding Seats, DVD, Air Conditioning, Power Steering, Trip Computer",8 Cyl,Pickup,"Mileage: 133,961 miles",Boston
Blue,"$13,390 ",2014 Jeep Patriot Latitude,"Used 2014 Jeep Patriot Latitude with 4WD, Remote Start, Heated Seats, Satellite Radio, Aux Audio Adapter, Handsfree/Bluetooth Integration",4 Cyl,SUV,"Mileage: 54,387 miles",Boston
Black,"$37,990 ",2016 Jeep Wrangler Rubicon,"Used 2016 Jeep Wrangler Rubicon with 4WD, Remote Start, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering",6 Cyl,SUV,"Mileage: 15,122 miles",Boston
Gray,"$19,900 ",2015 Toyota RAV4 LE,"Used 2015 Toyota RAV4 LE with AWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM",4 Cyl,SUV,"Mileage: 9,800 miles",Boston
Silver,"$23,991 ",2011 Toyota 4Runner SR5,"Used 2011 Toyota 4Runner SR5 with 4WD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Split/Folding Seats, Air Conditioning, Power Windows, Trip Computer, Intermittent Wipers, Front Airbags (Driver)",6 Cyl,SUV,"Mileage: 47,224 miles",Boston
Silver,"$21,990 ",2015 Subaru Forester 2.5i,"Used 2015 Subaru Forester 2.5i with AWD, Remote Start, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Cloth Seats, Power Windows, Aux Audio Adapter, Power Seat (Driver)",4 Cyl,SUV,"Mileage: 10,635 miles",Boston
Silver,"$11,900 ",2011 Subaru Outback 3.6R Limited,"Used 2011 Subaru Outback 3.6R Limited with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3",6 Cyl,Wagon,"Mileage: 117,653 miles",Boston
Blue,"$12,990 ",2014 Chevrolet Malibu LT,"Used 2014 Chevrolet Malibu LT with FWD, Remote Start, Leather Seats, Alloy Wheels, CD (Single Disc), Rear-View Camera, MP3, Satellite Radio, AM/FM, Power Seat (Driver)",4 Cyl,Sedan,"Mileage: 41,161 miles",Boston
Gray,"$15,250 ",2014 Honda Accord Sport,"Used 2014 Honda Accord Sport with FWD, Alloy Wheels, Handsfree/Bluetooth Integration",4 Cyl,Sedan,"Mileage: 51,764 miles",Boston
Black,"$24,995 ",2011 Toyota Sequoia SR5,"Used 2011 Toyota Sequoia SR5 with 4WD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3",8 Cyl,SUV,"Mileage: 62,951 miles",Boston
Silver,"$4,990 ",2002 Volvo C70 LT,"Used 2002 Volvo C70 LT with FWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, Power Steering, Power Windows",5 Cyl,Convertible,"Mileage: 76,595 miles",Boston
Red,"$16,250 ",2011 Kia Sorento SX,"Used 2011 Kia Sorento SX with AWD, Power Windows",6 Cyl,SUV,"Mileage: 37,762 miles",Boston
Green,"$20,995 ",2011 Toyota Tacoma Base,"Used 2011 Toyota Tacoma Base with 4WD, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Front Airbags (Driver)",6 Cyl,Pickup,"Mileage: 53,018 miles",Boston
