bodytype,specs,price,color,mileage,engine,model,city
SUV,"Used 2015 BMW X1 sDrive28i with RWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering","$20,882 ",White,"Mileage: 28,699 miles",4 Cyl,2015 BMW X1 sDrive28i,SanFrancisco 
Sedan,"Used 2008 Mazda Mazda3 s Grand Touring with FWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, Power Steering, Power Windows","$5,892 ",Silver,"Mileage: 103,938 miles",4 Cyl,2008 Mazda Mazda3 s Grand Touring,SanFrancisco 
Sedan,"Used 2014 Honda Civic LX with FWD, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows","$13,981 ",Black,"Mileage: 15,544 miles",4 Cyl,2014 Honda Civic LX,SanFrancisco 
Sedan,"Used 2016 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM","$13,900 ",Silver,"Mileage: 12,852 miles",4 Cyl,2016 Toyota Corolla LE,SanFrancisco 
Sedan,"Used 2015 Nissan Versa SV with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM","$8,884 ",Unspecified,"Mileage: 25,997 miles",4 Cyl,2015 Nissan Versa SV,SanFrancisco 
Convertible,"Used 2015 BMW Z4 sDrive35i with RWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio","$37,983 ",Black,"Mileage: 30,784 miles",6 Cyl,2015 BMW Z4 sDrive35i,SanFrancisco 
Hatchback,"Used 2015 Ford Fiesta SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows","$9,388 ",Silver,"Mileage: 20,689 miles",4 Cyl,2015 Ford Fiesta SE,SanFrancisco 
Sedan,"Used 2015 Ford Focus SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering","$11,293 ",Silver,"Mileage: 19,448 miles",4 Cyl,2015 Ford Focus SE,SanFrancisco 
Hatchback,"Used 2016 Ford Focus ST with FWD, Alloy Wheels, Keyless Entry, CD (Single Disc), Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes","$19,998 ",Red,"Mileage: 11,850 miles",4 Cyl,2016 Ford Focus ST,SanFrancisco 
Sedan,,"$14,988 ",Silver,"Mileage: 26,334 miles",4 Cyl,2016 Ford Fusion SE,SanFrancisco 
Sedan,"Used 2014 Toyota Avalon XLE with FWD, Alloy Wheels, Keyless Entry, Heated Seats, Rear-View Camera, Air Conditioning, 4-Wheel Disc Brakes","$20,000 ",Gray,"Mileage: 33,018 miles",6 Cyl,2014 Toyota Avalon XLE,SanFrancisco 
Sedan,"Used 2016 Hyundai Azera Base with FWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats","$21,950 ",Black,"Mileage: 16,481 miles",6 Cyl,2016 Hyundai Azera Base,SanFrancisco 
Sedan,"Used 2014 Volkswagen Jetta SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows","$12,500 ",Silver,"Mileage: 34,510 miles",4 Cyl,2014 Volkswagen Jetta SE,SanFrancisco 
SUV,"Used 2014 Lincoln Navigator with RWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)","$30,988 ",Black,"Mileage: 44,626 miles",8 Cyl,2014 Lincoln Navigator,SanFrancisco 
Coupe,,"$32,988 ",Gray,"Mileage: 44,350 miles",6 Cyl,2015 Lexus RC 350,SanFrancisco 
Pickup,"Used 2015 Chevrolet Silverado 1500 High Country with 4WD, Remote Start, Leather Seats, Fog Lights, Trailer Hitch, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera","$40,599 ",White,"Mileage: 20,104 miles",8 Cyl,2015 Chevrolet Silverado 1500 High Country,SanFrancisco 
Sedan,,"$15,983 ",Silver,"Mileage: 27,812 miles",4 Cyl,2014 Toyota Camry SE,SanFrancisco 
SUV,"Used 2015 Ford Escape SE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$16,950 ",Black,"Mileage: 31,184 miles",4 Cyl,2015 Ford Escape SE,SanFrancisco 
Hatchback,"Used 2014 Toyota Prius Plug-in Base with FWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3","$17,699 ",Green,"Mileage: 36,475 miles",4 Cyl,2014 Toyota Prius Plug-in Base,SanFrancisco 
SUV,"Used 2014 Ford Flex Limited with AWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, DVD","$28,950 ",Silver,"Mileage: 20,557 miles",6 Cyl,2014 Ford Flex Limited,SanFrancisco 
Hatchback,"Used 2016 Toyota Prius Two with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows","$19,484 ",Green,"Mileage: 20,369 miles",4 Cyl,2016 Toyota Prius Two,SanFrancisco 
Sedan,"Used 2013 BMW 5 Series 535i with RWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes, Power Locks","$28,000 ",Black,"Mileage: 30,608 miles",6 Cyl,2013 BMW 5 Series 535i,SanFrancisco 
Hatchback,"Used 2014 Toyota Prius Four with FWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3","$17,900 ",Silver,"Mileage: 35,596 miles",4 Cyl,2014 Toyota Prius Four,SanFrancisco 
Hatchback,"Used 2015 Mini Cooper with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes","$15,684 ",White,"Mileage: 22,320 miles",3 Cyl,2015 Mini Cooper,SanFrancisco 
Sedan,"Used 2015 Audi A3 with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3","$20,000 ",Black,"Mileage: 40,688 miles",4 Cyl,2015 Audi A3,SanFrancisco 
SUV,"Used 2015 Ford Escape SE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$16,950 ",Black,"Mileage: 31,184 miles",4 Cyl,2015 Ford Escape SE,SanFrancisco 
Hatchback,"Used 2014 Toyota Prius Plug-in Base with FWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3","$17,699 ",Green,"Mileage: 36,475 miles",4 Cyl,2014 Toyota Prius Plug-in Base,SanFrancisco 
Pickup,"Used 2016 Toyota Tacoma SR5 with 4WD, Double Cab, Fog Lights, Navigation System, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio","$33,483 ",White,"Mileage: 10,642 miles",6 Cyl,2016 Toyota Tacoma SR5,SanFrancisco 
SUV,"Used 2014 Ford Flex Limited with AWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, DVD","$28,950 ",Silver,"Mileage: 20,557 miles",6 Cyl,2014 Ford Flex Limited,SanFrancisco 
Hatchback,"Used 2016 Toyota Prius Two with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows","$19,484 ",Green,"Mileage: 20,369 miles",4 Cyl,2016 Toyota Prius Two,SanFrancisco 
Sedan,"Used 2013 BMW 5 Series 535i with RWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes, Power Locks","$28,000 ",Black,"Mileage: 30,608 miles",6 Cyl,2013 BMW 5 Series 535i,SanFrancisco 
Hatchback,"Used 2014 Toyota Prius Four with FWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3","$17,900 ",Silver,"Mileage: 35,596 miles",4 Cyl,2014 Toyota Prius Four,SanFrancisco 
Hatchback,"Used 2015 Toyota Prius Four with FWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3","$18,988 ",Black,"Mileage: 16,284 miles",4 Cyl,2015 Toyota Prius Four,SanFrancisco 
Hatchback,"Used 2015 Mini Cooper with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes","$15,684 ",White,"Mileage: 22,320 miles",3 Cyl,2015 Mini Cooper,SanFrancisco 
Sedan,"Used 2015 Audi A3 with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3","$20,000 ",Black,"Mileage: 40,688 miles",4 Cyl,2015 Audi A3,SanFrancisco 
Sedan,,"$15,500 ",Black,"Mileage: 40,925 miles",4 Cyl,2015 Kia Optima EX,SanFrancisco 
SUV,"Used 2014 Volkswagen Tiguan SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows","$15,975 ",Gray,"Mileage: 32,264 miles",4 Cyl,2014 Volkswagen Tiguan SE,SanFrancisco 
Sedan,"Used 2014 Ford Fusion SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering","$12,900 ",Gray,"Mileage: 26,549 miles",4 Cyl,2014 Ford Fusion SE,SanFrancisco 
SUV,"Used 2015 BMW X1 xDrive35i with AWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats","$27,995 ",White,"Mileage: 24,586 miles",6 Cyl,2015 BMW X1 xDrive35i,SanFrancisco 
Minivan,"Used 2017 Toyota Sienna LE with FWD, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$27,998 ",Gray,"Mileage: 7,294 miles",6 Cyl,2017 Toyota Sienna LE,SanFrancisco 
SUV,"Used 2014 Ford Explorer Sport with 4WD, Remote Start, Fog Lights, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Towing Package, Rear-View Camera","$30,000 ",Black,"Mileage: 45,077 miles",6 Cyl,2014 Ford Explorer Sport,SanFrancisco 
Sedan,"Used 2014 BMW 3 Series 328i with RWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows","$24,777 ",White,"Mileage: 21,098 miles",4 Cyl,2014 BMW 3 Series 328i,SanFrancisco 
Sedan,"Used 2014 Ford Fusion S with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM","$12,000 ",Orange,"Mileage: 43,307 miles",4 Cyl,2014 Ford Fusion S,SanFrancisco 
Hatchback,"Used 2014 Chevrolet Spark LT with FWD, Fog Lights, Keyless Entry, Cruise Control, Heated Seats, Air Conditioning, Satellite Radio, Power Steering, Power Windows, AM/FM, Power Locks","$10,488 ",White,"Mileage: 23,337 miles",4 Cyl,2014 Chevrolet Spark LT,SanFrancisco 
Sedan,"Used 2015 Volkswagen Passat SE with FWD, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering","$17,995 ",Beige,"Mileage: 25,659 miles",4 Cyl,2015 Volkswagen Passat SE,SanFrancisco 
SUV,"Used 2014 Land Rover Range Rover Sport Supercharged with 4WD, Leather Seats, Fog Lights, Power Sun/Moonroof, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats","$55,000 ",Red,"Mileage: 19,695 miles",6 Cyl,2014 Land Rover Range Rover Sport Supercharged,SanFrancisco 
Hatchback,"Used 2014 Toyota Prius Two with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM","$16,699 ",Black,"Mileage: 21,145 miles",4 Cyl,2014 Toyota Prius Two,SanFrancisco 
SUV,"Used 2012 Mini Cooper Countryman S with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows","$15,900 ",White,"Mileage: 27,591 miles",4 Cyl,2012 Mini Cooper Countryman S,SanFrancisco 
Convertible,"Used 2014 Ford Mustang with RWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows","$17,492 ",White,"Mileage: 18,435 miles",6 Cyl,2014 Ford Mustang,SanFrancisco 
Coupe,"Used 2015 BMW 2 Series 228i with RWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering","$24,499 ",Black,"Mileage: 12,672 miles",4 Cyl,2015 BMW 2 Series 228i,SanFrancisco 
SUV,"Used 2014 Toyota RAV4 Limited Edition with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning","$21,199 ",Blue,"Mileage: 47,893 miles",4 Cyl,2014 Toyota RAV4 Limited Edition,SanFrancisco 
SUV,"Used 2015 GMC Terrain SLE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$18,998 ",White,"Mileage: 19,098 miles",4 Cyl,2015 GMC Terrain SLE,SanFrancisco 
Sedan,"Used 2014 BMW 3 Series 335i with RWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3","$29,982 ",Black,"Mileage: 49,892 miles",6 Cyl,2014 BMW 3 Series 335i,SanFrancisco 
Hatchback,,"$13,285 ",Silver,"Mileage: 28,608 miles",4 Cyl,2015 Toyota Prius c One,SanFrancisco 
SUV,"Used 2015 Toyota RAV4 Limited Edition with AWD, Power Sun/Moonroof, Navigation System, Heated Seats, Rear-View Camera, Split/Folding Seats, 4-Wheel Disc Brakes, Power Seat (Driver), Power Mirrors","$25,491 ",Gray,"Mileage: 27,243 miles",4 Cyl,2015 Toyota RAV4 Limited Edition,SanFrancisco 
Sedan,"Used 2013 Ford Fusion SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering","$12,988 ",Black,"Mileage: 58,019 miles",4 Cyl,2013 Ford Fusion SE,SanFrancisco 
Hatchback,"Used 2015 Toyota Prius Two with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows","$16,500 ",Blue,"Mileage: 39,303 miles",4 Cyl,2015 Toyota Prius Two,SanFrancisco 
Convertible,"Used 2014 BMW Z4 sDrive35i with RWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3","$37,982 ",Gray,"Mileage: 21,044 miles",6 Cyl,2014 BMW Z4 sDrive35i,SanFrancisco 
Sedan,"Used 2015 BMW 4 Series 435i with RWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3","$39,900 ",Gray,"Mileage: 17,062 miles",6 Cyl,2015 BMW 4 Series 435i,SanFrancisco 
SUV,,"$27,982 ",Black,"Mileage: 42,386 miles",6 Cyl,2013 Toyota Highlander Limited,SanFrancisco 
Sedan,"Used 2015 Audi A3 with FWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning","$23,000 ",Black,"Mileage: 23,920 miles",4 Cyl,2015 Audi A3,SanFrancisco 
SUV,,"$24,500 ",White,"Mileage: 48,190 miles",4 Cyl,2014 BMW X3 xDrive28i,SanFrancisco 
Hatchback,"Used 2014 Toyota Prius Plug-in with FWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Power Steering","$18,998 ",Silver,"Mileage: 29,714 miles",4 Cyl,2014 Toyota Prius Plug-in,SanFrancisco 
Sedan,"Used 2015 BMW 4 Series 435i with RWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Power Steering","$37,900 ",Black,"Mileage: 37,607 miles",6 Cyl,2015 BMW 4 Series 435i,SanFrancisco 
Sedan,"Used 2014 Toyota Camry LE with FWD, 4-Wheel Disc Brakes, Power Seat (Driver)","$15,991 ",Gray,"Mileage: 25,000 miles",4 Cyl,2014 Toyota Camry LE,SanFrancisco 
SUV,,"$22,495 ",Silver,"Mileage: 40,257 miles",6 Cyl,2014 Jeep Grand Cherokee Laredo,SanFrancisco 
Hatchback,"Used 2015 Toyota Prius Two with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows","$17,999 ",Red,"Mileage: 21,640 miles",4 Cyl,2015 Toyota Prius Two,SanFrancisco 
Hatchback,"Used 2015 Chevrolet Sonic LS with FWD, Keyless Entry, Split/Folding Seats, Air Conditioning, Cloth Seats, Power Steering, AM/FM, Trip Computer, Intermittent Wipers, Rear Window Defroster, Front Airbags (Driver)","$9,999 ",Silver,"Mileage: 12,491 miles",4 Cyl,2015 Chevrolet Sonic LS,SanFrancisco 
SUV,"Used 2013 Kia Sportage LX with AWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows, AM/FM","$15,950 ",Blue,"Mileage: 48,022 miles",4 Cyl,2013 Kia Sportage LX,SanFrancisco 
SUV,"Used 2011 GMC Acadia SLE with FWD, Remote Start, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning","$14,589 ",Unspecified,"Mileage: 72,511 miles",6 Cyl,2011 GMC Acadia SLE,SanFrancisco 
Coupe,"Used 2014 Ford Mustang with RWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$16,997 ",Black,"Mileage: 34,440 miles",6 Cyl,2014 Ford Mustang,SanFrancisco 
SUV,,"$24,900 ",Black,"Mileage: 40,362 miles",4 Cyl,2014 BMW X3 xDrive28i,SanFrancisco 
Minivan,"Used 2012 Honda Odyssey EX with FWD, Rear-View Camera","$19,995 ",White,"Mileage: 74,430 miles",6 Cyl,2012 Honda Odyssey EX,SanFrancisco 
Hatchback,,"$16,999 ",Blue,"Mileage: 36,027 miles",4 Cyl,2014 Toyota Prius Plug-in,SanFrancisco 
Sedan,"Used 2014 BMW 5 Series 535i with RWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning","$34,900 ",Gray,"Mileage: 24,389 miles",6 Cyl,2014 BMW 5 Series 535i,SanFrancisco 
Minivan,"Used 2015 Toyota Sienna SE with FWD, Leather Seats, Fog Lights, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats, Air Conditioning, Power Steering","$29,994 ",White,"Mileage: 12,218 miles",6 Cyl,2015 Toyota Sienna SE,SanFrancisco 
Coupe,"Used 2014 Ford Mustang with RWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio","$16,997 ",Black,"Mileage: 34,440 miles",6 Cyl,2014 Ford Mustang,SanFrancisco 
SUV,,"$24,900 ",Black,"Mileage: 40,362 miles",4 Cyl,2014 BMW X3 xDrive28i,SanFrancisco 
Hatchback,"Used 2014 Toyota Prius c Two with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Intermittent Wipers","$13,900 ",White,"Mileage: 35,226 miles",4 Cyl,2014 Toyota Prius c Two,SanFrancisco 
Hatchback,"Used 2014 Toyota Prius Plug-in with FWD, Navigation System, Rear-View Camera, 4-Wheel Disc Brakes, Handsfree/Bluetooth Integration, Power Mirrors","$18,991 ",Gray,"Mileage: 24,097 miles",4 Cyl,2014 Toyota Prius Plug-in,SanFrancisco 
Sedan,"Used 2015 BMW 7 Series 740i with RWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3","$43,981 ",Black,"Mileage: 21,427 miles",6 Cyl,2015 BMW 7 Series 740i,SanFrancisco 
Sedan,"Used 2014 Honda Accord LX with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows","$14,981 ",White,"Mileage: 35,923 miles",4 Cyl,2014 Honda Accord LX,SanFrancisco 
Sedan,"Used 2014 Toyota Corolla L with FWD, Rear-View Camera","$13,991 ",Gray,"Mileage: 28,183 miles",4 Cyl,2014 Toyota Corolla L,SanFrancisco 
Sedan,"Used 2015 Ford Fusion SE with FWD, Fog Lights, Alloy Wheels, Keyless Entry, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering","$13,998 ",White,"Mileage: 67,655 miles",4 Cyl,2015 Ford Fusion SE,SanFrancisco 
Hatchback,"Used 2014 Toyota Prius Plug-in with FWD, Navigation System, Heated Seats, Rear-View Camera, 4-Wheel Disc Brakes, Handsfree/Bluetooth Integration, Power Mirrors","$18,591 ",Gray,"Mileage: 31,728 miles",4 Cyl,2014 Toyota Prius Plug-in,SanFrancisco 
SUV,"Used 2013 Kia Sportage LX with AWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows, AM/FM","$15,950 ",Blue,"Mileage: 48,022 miles",4 Cyl,2013 Kia Sportage LX,SanFrancisco 
Coupe,"Used 2015 BMW M4 with RWD, Leather Seats, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio","$56,000 ",Yellow,"Mileage: 22,855 miles",6 Cyl,2015 BMW M4,SanFrancisco 
SUV,"Used 2014 Toyota RAV4 Limited Edition with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats","$23,000 ",Silver,"Mileage: 13,166 miles",4 Cyl,2014 Toyota RAV4 Limited Edition,SanFrancisco 
Hatchback,"Used 2015 Toyota Prius Two with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows","$16,500 ",Blue,"Mileage: 39,303 miles",4 Cyl,2015 Toyota Prius Two,SanFrancisco 
SUV,"Used 2013 Ford Edge SEL with AWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats, Power Steering","$21,998 ",White,"Mileage: 34,692 miles",6 Cyl,2013 Ford Edge SEL,SanFrancisco 
SUV,"Used 2015 Audi Q3 Prestige with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera","$33,000 ",Black,"Mileage: 16,869 miles",4 Cyl,2015 Audi Q3 Prestige,SanFrancisco 
Hatchback,,"$16,999 ",Blue,"Mileage: 36,027 miles",4 Cyl,2014 Toyota Prius Plug-in,SanFrancisco 
Sedan,"Used 2014 BMW 5 Series 535i with RWD, Leather Seats, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning","$34,900 ",Gray,"Mileage: 24,389 miles",6 Cyl,2014 BMW 5 Series 535i,SanFrancisco 
Sedan,"Used 2016 Toyota Camry SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering","$15,000 ",White,"Mileage: 37,385 miles",4 Cyl,2016 Toyota Camry SE,SanFrancisco 
Sedan,"Used 2015 Toyota Avalon XLE with FWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Satellite Radio","$21,988 ",Black,"Mileage: 19,117 miles",6 Cyl,2015 Toyota Avalon XLE,SanFrancisco 
Hatchback,"Used 2015 Mini Cooper with FWD, Alloy Wheels, Keyless Entry, Cruise Control, Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes","$15,684 ",White,"Mileage: 22,320 miles",3 Cyl,2015 Mini Cooper,SanFrancisco 
Sedan,"Used 2013 BMW 5 Series 535i with RWD, Fog Lights, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes, Power Locks","$28,000 ",Black,"Mileage: 30,608 miles",6 Cyl,2013 BMW 5 Series 535i,SanFrancisco 
