specs,price,color,mileage,bodytype,engine,model,city
"Used 2014 Toyota Corolla LE with FWD, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering, Power Windows, AM/FM","$12,330 ",Red,"Mileage: 31,055 miles",Sedan,4 Cyl,2014 Toyota Corolla LE,WashingtonDC
"Used 2017 Ford Escape Titanium with FWD, Fog Lights, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning","$24,295 ",Black,"Mileage: 7,813 miles",SUV,4 Cyl,2017 Ford Escape Titanium,WashingtonDC
"Used 2014 Chevrolet Cruze LT with FWD, Remote Start, Cruise Control, CD (Single Disc), Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, AM/FM, Trip Computer, Power Seat (Driver)","$11,685 ",Blue,"Mileage: 44,191 miles",Sedan,4 Cyl,2014 Chevrolet Cruze LT,WashingtonDC
"Used 2011 Ford Edge Limited with FWD, Remote Start, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3","$14,490 ",Red,"Mileage: 65,441 miles",SUV,6 Cyl,2011 Ford Edge Limited,WashingtonDC
"Used 2015 Toyota Camry SE with FWD, Alloy Wheels, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, MP3, Cloth Seats, Power Steering","$18,990 ",White,"Mileage: 11,967 miles",Sedan,4 Cyl,2015 Toyota Camry SE,WashingtonDC
"Used 2015 Chevrolet Cruze LT with FWD, Remote Start, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Cloth Seats","$12,000 ",Red,"Mileage: 18,122 miles",Sedan,4 Cyl,2015 Chevrolet Cruze LT,WashingtonDC
"Used 2014 Mercedes-Benz E-Class E 350 with AWD, Alloy Wheels, Navigation System, Rear-View Camera, Satellite Radio, Power Mirrors","$35,832 ",Black,"Mileage: 20,148 miles",Coupe,6 Cyl,2014 Mercedes-Benz E-Class E 350,WashingtonDC
"Used 2014 Nissan Altima S with FWD, Cruise Control, Air Conditioning, Power Steering, AM/FM, Trip Computer, Power Seat (Driver), Intermittent Wipers, Power Locks, Rear Window Defroster, Handsfree/Bluetooth Integration","$13,990 ",Red,"Mileage: 20,163 miles",Sedan,4 Cyl,2014 Nissan Altima S,WashingtonDC
"Used 2013 Ford Explorer Sport with 4WD, Remote Start, Fog Lights, Trailer Hitch, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc)","$22,990 ",Silver,"Mileage: 85,962 miles",SUV,6 Cyl,2013 Ford Explorer Sport,WashingtonDC
"Used 2015 BMW X5 xDrive35i with AWD, Fog Lights, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats","$41,992 ",White,"Mileage: 41,775 miles",SUV,6 Cyl,2015 BMW X5 xDrive35i,WashingtonDC
"Used 2016 Infiniti Q50 Premium with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Air Conditioning, Power Steering, AM/FM, Aux Audio Adapter, 4-Wheel Disc Brakes","$28,988 ",Black,"Mileage: 10,624 miles",Sedan,6 Cyl,2016 Infiniti Q50 Premium,WashingtonDC
"Used 2014 Toyota RAV4 LE with AWD, Cruise Control, Split/Folding Seats, Power Steering, Trip Computer, Intermittent Wipers, Power Locks, Rear Window Defroster, Handsfree/Bluetooth Integration","$17,490 ",White,"Mileage: 35,909 miles",SUV,4 Cyl,2014 Toyota RAV4 LE,WashingtonDC
"Used 2015 Ford Edge Titanium with AWD, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3","$26,889 ",Gray,"Mileage: 15,352 miles",SUV,6 Cyl,2015 Ford Edge Titanium,WashingtonDC
"Used 2015 Toyota Sienna with FWD, Leather Seats, Fog Lights, Alloy Wheels, Third Row Seating, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats","$26,995 ",Gray,"Mileage: 26,618 miles",Minivan,6 Cyl,2015 Toyota Sienna,WashingtonDC
"Used 2015 Mercedes-Benz GLA 250 with AWD, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Power Steering, Power Windows","$30,891 ",Unspecified,"Mileage: 15,250 miles",SUV,4 Cyl,2015 Mercedes-Benz GLA 250,WashingtonDC
"Used 2014 BMW X3 xDrive28i with AWD, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Towing Package, Split/Folding Seats, Air Conditioning","$26,995 ",Black,"Mileage: 35,378 miles",SUV,4 Cyl,2014 BMW X3 xDrive28i,WashingtonDC
"Used 2014 Mercedes-Benz E-Class E 350 with AWD, Fog Lights, Power Sun/Moonroof, Keyless Entry, Cruise Control, CD (Single Disc), DVD, Air Conditioning, MP3, Power Steering, Power Windows","$30,930 ",Black,"Mileage: 40,810 miles",Sedan,6 Cyl,2014 Mercedes-Benz E-Class E 350,WashingtonDC
"Used 2015 Toyota Corolla S with FWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3","$13,595 ",Gray,"Mileage: 34,982 miles",Sedan,4 Cyl,2015 Toyota Corolla S,WashingtonDC
"Used 2015 Jeep Wrangler Sahara with 4WD, Fog Lights, Cruise Control, Split/Folding Seats, Air Conditioning, Power Steering, AM/FM, Trip Computer, Intermittent Wipers, Power Locks, Power Mirrors","$32,990 ",Red,"Mileage: 17,721 miles",SUV,6 Cyl,2015 Jeep Wrangler Sahara,WashingtonDC
"Used 2015 BMW X5 xDrive35i with AWD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats, Air Conditioning","$43,599 ",Silver,"Mileage: 23,575 miles",SUV,6 Cyl,2015 BMW X5 xDrive35i,WashingtonDC
"Used 2013 Lexus LX 570 with 4WD, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Third Row Seating, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Split/Folding Seats","$50,997 ",Black,"Mileage: 31,186 miles",SUV,8 Cyl,2013 Lexus LX 570,WashingtonDC
"Used 2015 Cadillac SRX Base with FWD, Leather Seats, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering","$22,900 ",Black,"Mileage: 26,630 miles",SUV,6 Cyl,2015 Cadillac SRX Base,WashingtonDC
"Used 2015 Buick Encore Base with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Rear-View Camera, Split/Folding Seats, Air Conditioning, MP3, Satellite Radio, Power Steering","$16,900 ",Brown,"Mileage: 9,863 miles",SUV,4 Cyl,2015 Buick Encore Base,WashingtonDC
"Used 2014 Lincoln MKX with AWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, MP3","$24,550 ",Red,"Mileage: 51,491 miles",SUV,6 Cyl,2014 Lincoln MKX,WashingtonDC
"Used 2013 Volkswagen Passat S with FWD, Cruise Control, Air Conditioning, Power Steering, Trip Computer, Intermittent Wipers, Power Locks, Rear Window Defroster, Handsfree/Bluetooth Integration, Power Mirrors","$11,890 ",Gray,"Mileage: 20,604 miles",Sedan,5 Cyl,2013 Volkswagen Passat S,WashingtonDC
"Used 2015 Volkswagen Golf Autobahn with FWD, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Power Windows","$19,999 ",Blue,"Mileage: 23,114 miles",Hatchback,4 Cyl,2015 Volkswagen Golf Autobahn,WashingtonDC
"Used 2015 Nissan Altima SL with FWD, Remote Start, Leather Seats, Fog Lights, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats","$15,986 ",Black,"Mileage: 29,121 miles",Sedan,4 Cyl,2015 Nissan Altima SL,WashingtonDC
"Used 2016 Chevrolet Corvette Z51 with RWD, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Air Conditioning, Power Windows, AM/FM, Trip Computer, Power Seat (Driver)","$46,900 ",Red,"Mileage: 4,033 miles",Coupe,8 Cyl,2016 Chevrolet Corvette Z51,WashingtonDC
"Used 2015 Lincoln MKZ with AWD, Remote Start, Leather Seats, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats","$21,751 ",Silver,"Mileage: 16,578 miles",Sedan,4 Cyl,2015 Lincoln MKZ,WashingtonDC
"Used 2014 Lexus RX 350 with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Navigation System, Keyless Entry, Cruise Control, Heated Seats, Rear-View Camera, Split/Folding Seats","$27,854 ",Silver,"Mileage: 27,867 miles",SUV,6 Cyl,2014 Lexus RX 350,WashingtonDC
"Used 2014 Nissan Murano SL with AWD, Leather Seats, Fog Lights, Power Sun/Moonroof, Alloy Wheels, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Rear-View Camera, Split/Folding Seats","$20,630 ",Silver,"Mileage: 34,373 miles",SUV,6 Cyl,2014 Nissan Murano SL,WashingtonDC
"Used 2017 Chevrolet Cruze LS with FWD, Keyless Entry, Rear-View Camera, Air Conditioning, Cloth Seats, Power Steering, Power Windows, AM/FM, 4-Wheel Disc Brakes, Trip Computer, Intermittent Wipers","$15,671 ",Silver,Mileage: 105 miles,Sedan,4 Cyl,2017 Chevrolet Cruze LS,WashingtonDC
"Used 2016 BMW X6 sDrive35i with RWD, Fog Lights, Navigation System, Keyless Entry, Cruise Control, Heated Seats, CD (Single Disc), Air Conditioning, Satellite Radio, Power Steering, Power Windows","$53,995 ",Black,"Mileage: 3,246 miles",SUV,6 Cyl,2016 BMW X6 sDrive35i,WashingtonDC
"Used 2014 Ford Focus SE with FWD, Alloy Wheels, Keyless Entry, Cruise Control, CD (Single Disc), Split/Folding Seats, Air Conditioning, MP3, Cloth Seats, Power Steering, AM/FM","$10,888 ",Blue,"Mileage: 18,664 miles",Sedan,4 Cyl,2014 Ford Focus SE,WashingtonDC
"Used 2014 BMW 6 Series 640i xDrive with AWD, Fog Lights, Navigation System, Keyless Entry, Heated Seats, CD (Single Disc), Rear-View Camera, Air Conditioning, Satellite Radio, Power Steering, Power Windows","$45,995 ",White,"Mileage: 24,068 miles",Sedan,6 Cyl,2014 BMW 6 Series 640i xDrive,WashingtonDC
"Used 2012 Ford Explorer XLT with 4WD, Alloy Wheels, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Satellite Radio, Power Steering, Power Windows, AM/FM, Power Seat (Driver)","$18,975 ",Gray,"Mileage: 69,697 miles",SUV,6 Cyl,2012 Ford Explorer XLT,WashingtonDC
"Used 2012 Ford Explorer Base with FWD, Third Row Seating, Keyless Entry, Cruise Control, CD (Single Disc), Air Conditioning, MP3, Power Steering, Power Windows, AM/FM, Aux Audio Adapter","$13,995 ",Red,"Mileage: 95,067 miles",SUV,4 Cyl,2012 Ford Explorer Base,WashingtonDC
